id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where2|where0|where1|marriage0|marriage1|look0|look1
10455793|M|31|160|3|-1|1|0|0|0|0|5|3|1|1|1|22.5|1|0|0|0|0|0|0
18423331|M|27|162|1|0|1|-1|0|-1|0|5|1|0|1|1|-1.0|3|0|0|0|0|1|0
3267962|M|26|165|3|-1|1|-1|0|-1|0|5|1|0|1|0|24.0|3|0|-1|0|0|0|0
16770546|M|30|162|3|-1|0|-1|1|0|0|2|3|0|0|-1|22.5|0|0|0|0|0|1|0
1937320|M|28|158|3|0|1|0|0|-1|0|2|1|1|0|0|20.5|1|1|0|0|0|0|0
9584265|M|32|171|3|-1|1|-1|0|-1|0|0|1|-1|1|0|-1.0|3|0|0|0|0|0|0
18700757|M|33|162|3|0|1|-1|0|-1|0|5|1|0|1|0|20.0|4|0|-1|0|0|0|0
1287993|M|36|175|5|0|1|1|0|-1|0|0|0|0|0|0|-1.0|3|1|0|1|0|1|0
2603091|M|34|163|3|0|1|0|0|0|0|3|1|1|1|0|25.5|3|1|1|0|0|0|0
19026370|M|30|167|2|0|0|-1|0|-1|0|3|1|0|1|0|26.0|4|0|-1|0|0|0|0
77791262|M|32|163|3|0|1|-1|1|1|0|5|1|0|0|0|-1.0|3|1|1|0|0|1|1
38316668|M|26|163|3|0|1|-1|0|-1|0|5|3|0|1|0|23.0|1|0|0|0|0|0|0
1373465|M|43|166|2|0|1|1|1|0|0|2|1|0|0|0|35.0|0|0|0|1|1|0|1
34557288|M|29|160|2|0|1|0|0|0|0|5|1|1|1|0|23.5|1|-1|-1|0|0|0|0
32873208|M|29|160|5|1|0|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
20457532|M|35|170|1|-1|1|-1|0|-1|0|5|1|1|0|0|-1.0|2|1|0|1|1|1|0
20187975|M|32|160|2|3|1|-1|1|0|0|5|1|0|1|0|22.5|0|0|0|0|0|0|0
3081534|M|29|158|2|-1|1|-1|0|-1|0|3|3|0|0|0|21.5|3|1|0|0|0|0|0
27669682|M|33|160|1|-1|1|0|0|0|0|5|1|1|1|1|25.0|1|1|0|1|0|0|0
3691684|M|31|164|2|0|1|-1|1|1|1|3|3|-1|0|1|30.0|3|1|0|0|0|1|0
3829796|M|34|167|3|0|1|-1|0|1|0|5|1|1|1|0|31.0|0|0|0|0|0|0|0
26884062|M|30|163|2|0|1|-1|0|0|0|5|1|1|1|1|-1.0|2|0|1|1|0|1|0
27629243|M|31|163|1|0|0|0|0|0|0|0|0|0|0|0|-1.0|1|0|1|1|0|0|0
10685936|M|33|157|3|0|1|-1|0|0|0|2|1|1|1|0|22.0|3|0|-1|0|0|0|1
3374136|M|33|162|2|0|1|-1|0|0|0|0|0|0|0|0|25.0|3|-1|-1|0|0|0|0
60281158|M|21|170|2|-1|1|-1|0|-1|1|2|1|0|0|0|25.5|1|-1|-1|0|0|1|1
17702915|M|36|157|1|0|1|-1|1|0|0|5|1|0|0|0|25.0|1|0|-1|1|0|1|1
3947597|M|38|155|2|-1|1|-1|0|0|0|5|0|0|0|0|24.5|0|0|0|1|0|0|0
1751573|M|30|170|3|0|1|-1|0|0|0|0|0|0|0|0|27.5|0|0|0|0|0|0|0
4994468|M|33|165|2|1|0|-1|0|0|0|5|1|-1|1|0|26.0|0|0|0|0|0|0|0
3021220|M|35|165|3|0|1|-1|0|0|0|0|0|0|0|0|27.5|3|1|1|0|0|0|0
2274872|M|29|165|2|0|1|-1|0|-1|1|5|3|0|1|1|23.5|4|0|-1|0|0|0|0
29873565|M|27|154|2|0|1|1|0|0|0|2|3|-1|1|1|26.0|0|0|0|0|0|0|0
66367316|M|26|160|2|1|1|-1|0|0|0|5|3|1|1|1|22.5|4|0|-1|0|0|1|0
27151835|M|27|168|3|-1|1|0|0|0|1|3|0|0|1|0|-1.0|2|1|0|0|0|0|0
36462642|M|28|157|2|-1|1|-1|0|-1|0|2|1|0|1|1|23.0|1|0|-1|0|0|0|0
4068224|M|51|161|3|-1|1|-1|0|0|0|3|1|1|0|1|26.5|1|-1|1|1|1|0|0
20054165|M|25|166|2|0|1|-1|0|0|0|3|1|1|1|1|-1.0|2|1|0|0|0|0|0
4657097|M|34|160|2|0|1|-1|0|-1|0|5|3|1|1|0|23.0|3|1|0|0|0|0|0
4167567|M|38|158|3|-1|1|-1|1|0|0|0|1|0|0|0|26.0|1|-1|-1|1|1|0|0
23806853|M|29|169|2|0|1|-1|0|1|0|3|1|0|1|1|37.5|3|1|0|0|0|0|0
3364290|M|30|165|2|0|1|-1|0|0|0|5|1|1|1|0|26.5|2|1|0|0|0|1|0
53339421|M|26|170|3|0|0|0|0|-1|1|5|3|1|1|0|25.5|3|1|0|0|0|0|0
3937091|M|31|158|3|1|1|-1|1|-1|0|5|1|-1|1|0|20.5|4|0|-1|0|0|0|0
2799932|M|32|171|3|-1|1|-1|1|-1|1|5|-4|-1|0|-1|25.0|0|0|0|0|0|0|0
11860454|M|37|162|2|0|1|-1|0|-1|0|0|1|1|0|0|25.0|3|1|1|0|0|0|0
3169001|M|42|158|2|-1|1|-1|0|-1|0|5|1|-1|0|0|23.0|3|1|0|1|0|1|0
5110844|M|29|170|3|1|1|1|0|-1|0|5|3|-1|1|0|28.0|3|0|1|0|0|0|1
59172990|M|25|160|2|0|1|-1|0|-1|0|5|1|1|1|0|22.5|2|1|0|0|0|0|0
3386828|M|42|157|2|-1|1|-1|1|0|0|5|1|1|-1|-1|27.5|3|0|1|1|1|0|1
2285152|M|34|163|5|1|1|-1|0|0|0|5|3|1|1|0|27.5|0|0|0|0|0|1|0
1880226|M|28|156|3|-1|1|-1|0|0|0|0|0|0|0|0|22.5|1|-1|-1|0|0|0|0
1797963|M|31|163|3|0|1|-1|0|0|0|0|0|0|0|0|26.5|4|0|-1|0|0|0|0
3370581|M|42|165|2|1|1|-1|1|1|0|0|0|0|0|0|26.5|0|0|0|0|0|0|0
