id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where2|where0|where1|marriage0|marriage1|look0|look1|cluster
10455793|M|31|160|3|-1.0|1|0|0|0.0|0|5.0|3|1|1|1|22.5|1|0|0|0|0|0|0|5
18423331|M|27|162|1|0.0|1|-1|0|-1.0|0|5.0|1|0|1|1|-1.0|3|0|0|0|0|1|0|4
3267962|M|26|165|3|-1.0|1|-1|0|-1.0|0|5.0|1|0|1|0|24.0|3|0|-1|0|0|0|0|4
16770546|M|30|162|3|-1.0|0|-1|1|0.0|0|2.0|3|0|0|-1|22.5|0|0|0|0|0|1|0|1
1937320|M|28|158|3|0.0|1|0|0|-1.0|0|2.0|1|1|0|0|20.5|1|1|0|0|0|0|0|3
9584265|M|32|171|3|-1.0|1|-1|0|-1.0|0|0.0|1|-1|1|0|-1.0|3|0|0|0|0|0|0|3
18700757|M|33|162|3|0.0|1|-1|0|-1.0|0|5.0|1|0|1|0|20.0|4|0|-1|0|0|0|0|4
1287993|M|36|175|5|0.0|1|1|0|-1.0|0|0.0|0|0|0|0|-1.0|3|1|0|1|0|1|0|3
2603091|M|34|163|3|0.0|1|0|0|0.0|0|3.0|1|1|1|0|25.5|3|1|1|0|0|0|0|5
19026370|M|30|167|2|0.0|0|-1|0|-1.0|0|3.0|1|0|1|0|26.0|4|0|-1|0|0|0|0|4
77791262|M|32|163|3|0.0|1|-1|1|1.0|0|5.0|1|0|0|0|-1.0|3|1|1|0|0|1|1|1
38316668|M|26|163|3|0.0|1|-1|0|-1.0|0|5.0|3|0|1|0|23.0|1|0|0|0|0|0|0|5
1373465|M|43|166|2|0.0|1|1|1|0.0|0|2.0|1|0|0|0|35.0|0|0|0|1|1|0|1|2
34557288|M|29|160|2|0.0|1|0|0|0.0|0|5.0|1|1|1|0|23.5|1|-1|-1|0|0|0|0|4
32873208|M|29|160|5|1.0|0|0|0|0.0|0|0.0|0|0|0|0|-1.0|0|0|0|0|0|0|0|3
20457532|M|35|170|1|-1.0|1|-1|0|-1.0|0|5.0|1|1|0|0|-1.0|2|1|0|1|1|1|0|2
20187975|M|32|160|2|3.0|1|-1|1|0.0|0|5.0|1|0|1|0|22.5|0|0|0|0|0|0|0|1
3081534|M|29|158|2|-1.0|1|-1|0|-1.0|0|3.0|3|0|0|0|21.5|3|1|0|0|0|0|0|5
27669682|M|33|160|1|-1.0|1|0|0|0.0|0|5.0|1|1|1|1|25.0|1|1|0|1|0|0|0|5
3691684|M|31|164|2|0.0|1|-1|1|1.0|1|3.0|3|-1|0|1|30.0|3|1|0|0|0|1|0|0
3829796|M|34|167|3|0.0|1|-1|0|1.0|0|5.0|1|1|1|0|31.0|0|0|0|0|0|0|0|5
26884062|M|30|163|2|0.0|1|-1|0|0.0|0|5.0|1|1|1|1|-1.0|2|0|1|1|0|1|0|5
27629243|M|31|163|1|0.0|0|0|0|0.0|0|0.0|0|0|0|0|-1.0|1|0|1|1|0|0|0|3
10685936|M|33|157|3|0.0|1|-1|0|0.0|0|2.0|1|1|1|0|22.0|3|0|-1|0|0|0|1|4
3374136|M|33|162|2|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|25.0|3|-1|-1|0|0|0|0|3
60281158|M|21|170|2|-1.0|1|-1|0|-1.0|1|2.0|1|0|0|0|25.5|1|-1|-1|0|0|1|1|0
17702915|M|36|157|1|0.0|1|-1|1|0.0|0|5.0|1|0|0|0|25.0|1|0|-1|1|0|1|1|2
3947597|M|38|155|2|-1.0|1|-1|0|0.0|0|5.0|0|0|0|0|24.5|0|0|0|1|0|0|0|2
1751573|M|30|170|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|27.5|0|0|0|0|0|0|0|3
4994468|M|33|165|2|1.0|0|-1|0|0.0|0|5.0|1|-1|1|0|26.0|0|0|0|0|0|0|0|5
3021220|M|35|165|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|27.5|3|1|1|0|0|0|0|3
2274872|M|29|165|2|0.0|1|-1|0|-1.0|1|5.0|3|0|1|1|23.5|4|0|-1|0|0|0|0|0
29873565|M|27|154|2|0.0|1|1|0|0.0|0|2.0|3|-1|1|1|26.0|0|0|0|0|0|0|0|5
66367316|M|26|160|2|1.0|1|-1|0|0.0|0|5.0|3|1|1|1|22.5|4|0|-1|0|0|1|0|4
27151835|M|27|168|3|-1.0|1|0|0|0.0|1|3.0|0|0|1|0|-1.0|2|1|0|0|0|0|0|0
36462642|M|28|157|2|-1.0|1|-1|0|-1.0|0|2.0|1|0|1|1|23.0|1|0|-1|0|0|0|0|4
4068224|M|51|161|3|-1.0|1|-1|0|0.0|0|3.0|1|1|0|1|26.5|1|-1|1|1|1|0|0|2
20054165|M|25|166|2|0.0|1|-1|0|0.0|0|3.0|1|1|1|1|-1.0|2|1|0|0|0|0|0|5
4657097|M|34|160|2|0.0|1|-1|0|-1.0|0|5.0|3|1|1|0|23.0|3|1|0|0|0|0|0|5
4167567|M|38|158|3|-1.0|1|-1|1|0.0|0|0.0|1|0|0|0|26.0|1|-1|-1|1|1|0|0|2
23806853|M|29|169|2|0.0|1|-1|0|1.0|0|3.0|1|0|1|1|37.5|3|1|0|0|0|0|0|5
3364290|M|30|165|2|0.0|1|-1|0|0.0|0|5.0|1|1|1|0|26.5|2|1|0|0|0|1|0|5
53339421|M|26|170|3|0.0|0|0|0|-1.0|1|5.0|3|1|1|0|25.5|3|1|0|0|0|0|0|0
3937091|M|31|158|3|1.0|1|-1|1|-1.0|0|5.0|1|-1|1|0|20.5|4|0|-1|0|0|0|0|1
2799932|M|32|171|3|-1.0|1|-1|1|-1.0|1|5.0|-4|-1|0|-1|25.0|0|0|0|0|0|0|0|0
11860454|M|37|162|2|0.0|1|-1|0|-1.0|0|0.0|1|1|0|0|25.0|3|1|1|0|0|0|0|3
3169001|M|42|158|2|-1.0|1|-1|0|-1.0|0|5.0|1|-1|0|0|23.0|3|1|0|1|0|1|0|2
5110844|M|29|170|3|1.0|1|1|0|-1.0|0|5.0|3|-1|1|0|28.0|3|0|1|0|0|0|1|1
59172990|M|25|160|2|0.0|1|-1|0|-1.0|0|5.0|1|1|1|0|22.5|2|1|0|0|0|0|0|5
3386828|M|42|157|2|-1.0|1|-1|1|0.0|0|5.0|1|1|-1|-1|27.5|3|0|1|1|1|0|1|2
2285152|M|34|163|5|1.0|1|-1|0|0.0|0|5.0|3|1|1|0|27.5|0|0|0|0|0|1|0|5
1880226|M|28|156|3|-1.0|1|-1|0|0.0|0|0.0|0|0|0|0|22.5|1|-1|-1|0|0|0|0|3
1797963|M|31|163|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|26.5|4|0|-1|0|0|0|0|3
3370581|M|42|165|2|1.0|1|-1|1|1.0|0|0.0|0|0|0|0|26.5|0|0|0|0|0|0|0|1
13560245|M|27|160|1|-1.0|1|-1|0|0.0|0|0.0|3|1|0|0|27.0|1|0|1|0|0|0|0|5
3384952|M|31|165|3|-1.0|1|-1|1|1.0|0|0.0|0|0|0|0|30.0|3|0|0|0|0|0|0|3
2647158|M|33|165|3|-1.0|1|0|0|0.0|0|0.0|0|0|0|0|-1.0|0|0|0|0|0|0|0|3
14135047|M|31|163|3|-1.0|1|-1|0|2.0|0|3.0|1|1|1|0|28.0|2|0|1|0|0|0|1|5
27405014|M|25|158|3|-1.0|1|-1|1|-1.0|0|5.0|3|0|0|1|-1.0|1|-1|1|0|0|0|0|1
1547744|M|32|168|2|-1.0|1|-1|0|1.0|0|5.0|3|0|0|0|31.5|3|1|1|0|0|0|1|5
25194842|M|42|163|2|-1.0|1|0|0|0.0|0|5.0|1|1|-1|0|-1.0|1|-1|-1|1|1|1|1|2
12316207|M|33|160|2|0.0|1|-1|0|0.0|0|5.0|1|-1|1|0|28.0|2|-1|1|0|0|0|1|5
2076901|M|34|165|4|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|26.5|3|-1|1|0|0|0|0|3
35272207|M|23|158|1|-1.0|1|-1|0|1.0|0|5.0|1|-1|1|-1|25.0|1|-1|1|0|0|0|0|5
55858131|M|23|160|2|1.0|0|-1|0|0.0|0|0.0|-1|0|1|0|-1.0|3|-1|-1|0|0|1|1|4
1437028|M|30|170|2|-1.0|1|-1|0|1.0|0|0.0|0|0|0|0|31.0|0|0|0|0|0|0|0|3
3971741|M|29|170|2|0.0|1|-1|0|-1.0|0|0.0|1|0|0|1|25.0|3|1|1|0|0|0|0|3
32784593|M|24|160|2|-1.0|1|-1|0|-1.0|0|5.0|1|0|1|1|21.5|3|1|0|0|0|0|0|5
83559062|M|36|160|3|0.0|1|-1|0|1.0|0|5.0|0|1|1|-1|30.0|4|0|-1|1|0|0|1|4
31214301|M|24|160|1|-1.0|0|0|0|0.0|0|2.0|1|0|1|0|-1.0|0|0|0|0|0|0|0|3
16877909|M|27|160|2|0.0|1|-1|0|1.0|0|2.0|1|1|0|-1|29.0|3|-1|1|0|0|0|0|3
4150686|M|31|164|2|0.0|1|-1|0|0.0|0|5.0|0|-1|0|0|27.0|2|-1|1|0|0|0|0|3
14430745|M|30|157|2|-1.0|1|-1|0|0.0|0|2.0|1|0|1|1|22.5|3|0|0|0|0|0|0|4
21342249|M|30|155|1|0.0|1|0|0|0.0|0|3.0|1|0|0|0|21.5|3|1|0|1|1|0|0|2
15158079|M|38|164|2|0.0|1|0|0|-1.0|0|0.0|3|0|1|0|25.5|3|1|0|0|0|1|0|5
17620055|M|40|163|1|-1.0|1|-1|0|-1.0|0|5.0|1|1|0|0|26.0|3|0|-1|1|0|0|1|2
7930556|M|27|166|3|-1.0|1|-1|0|0.0|0|3.0|1|1|0|0|25.5|3|0|0|0|0|0|0|5
5093515|M|29|160|2|0.0|0|-1|0|0.0|0|2.0|3|1|0|0|22.5|2|0|0|0|0|0|1|5
24270137|M|32|163|2|-1.0|1|0|0|0.0|0|0.0|0|0|0|0|-1.0|1|0|0|0|0|0|0|3
39219801|M|27|160|2|0.0|1|-1|0|0.0|0|3.0|3|0|1|0|27.5|3|0|1|0|0|0|0|5
14257041|M|27|166|2|0.0|1|-1|0|0.0|0|3.0|3|0|1|1|26.0|1|1|0|0|0|0|0|5
1307741|M|33|158|3|-1.0|1|-1|0|0.0|0|5.0|3|1|1|0|24.5|3|1|0|0|0|0|0|5
1563600|M|34|160|3|1.0|1|-1|0|0.0|0|0.0|0|0|0|0|24.5|0|0|0|0|0|0|0|3
1750882|M|27|160|2|-1.0|0|-1|1|0.0|0|3.0|0|0|1|1|23.0|3|1|0|0|0|0|0|1
11545136|M|31|160|2|0.0|1|-1|1|0.0|0|5.0|3|1|1|0|25.0|3|0|-1|0|0|0|0|1
13689609|M|29|160|3|0.0|1|1|0|0.0|0|5.0|1|1|1|-1|24.5|1|0|-1|0|0|0|0|4
38422295|M|29|161|2|0.0|0|1|0|0.0|0|2.0|1|0|1|0|22.5|1|-1|-1|0|0|0|0|3
18643682|M|29|167|3|0.0|1|-1|0|-1.0|0|5.0|1|-1|1|-1|25.0|1|0|-1|0|0|0|1|4
4243003|M|26|160|2|-1.0|1|-1|0|0.0|0|5.0|3|-1|1|1|22.5|0|0|0|0|0|0|0|5
15015004|M|29|160|1|0.0|0|0|0|0.0|0|0.0|0|0|0|0|24.0|3|0|1|0|0|0|0|3
1490090|M|36|150|3|-1.0|1|-1|0|0.0|0|0.0|0|0|0|0|24.0|2|1|0|0|0|0|0|3
1313014|M|37|168|2|-1.0|1|-1|0|0.0|0|0.0|0|0|0|0|32.5|0|0|0|1|0|0|0|3
1618208|M|35|158|2|-1.0|1|-1|0|0.0|0|2.0|3|1|1|1|26.0|4|0|-1|0|0|0|1|4
79521002|M|29|163|2|0.0|1|0|0|0.0|0|5.0|0|0|0|0|29.0|3|0|1|0|0|0|0|5
4951421|M|31|158|3|0.0|1|-1|0|0.0|0|5.0|3|1|1|1|23.0|4|0|-1|0|0|0|0|4
11745172|M|25|168|2|-1.0|1|0|0|0.0|0|5.0|1|-1|1|0|30.0|3|-1|1|0|0|0|0|5
4774063|M|33|158|3|0.0|1|-1|0|0.0|0|2.0|1|1|1|0|21.5|0|0|0|0|0|1|0|5
1962497|M|37|160|2|1.0|1|-1|1|-1.0|0|0.0|0|1|0|0|24.5|3|1|0|0|0|0|0|1
57949650|M|34|160|1|-1.0|0|-1|0|-1.0|0|1.0|3|-1|1|0|22.5|1|0|1|0|0|0|0|3
2895286|M|31|162|2|0.0|1|-1|0|1.0|0|5.0|3|1|1|0|27.5|1|0|0|0|0|0|1|5
20501679|M|31|160|3|0.0|1|0|0|0.0|0|0.0|0|1|0|0|-1.0|0|0|0|0|0|0|0|3
15559007|M|27|167|3|0.0|1|-1|0|0.0|0|3.0|1|0|1|0|-1.0|3|-1|1|0|0|0|0|5
20662882|M|37|160|3|0.0|1|-1|0|0.0|0|5.0|3|1|0|1|-1.0|0|0|0|1|1|0|1|2
16552089|M|33|161|3|0.0|1|0|0|0.0|0|3.0|0|0|0|0|25.0|2|0|1|1|1|1|0|2
2538455|M|34|161|5|1.0|1|-1|1|0.0|0|5.0|3|0|1|0|23.5|0|0|0|1|0|0|1|1
22615753|M|32|160|2|-1.0|1|-1|0|0.0|1|3.0|1|0|1|0|24.0|1|-1|-1|0|0|0|1|0
2311540|M|30|165|3|1.0|0|-1|0|-1.0|0|5.0|0|0|1|-1|22.5|0|0|0|0|0|0|1|5
23476032|M|27|160|3|-1.0|1|-1|0|0.0|0|5.0|3|1|1|1|25.0|3|1|0|0|0|0|1|5
5009326|M|28|161|3|0.0|0|-1|1|1.0|0|5.0|3|1|1|0|27.5|0|0|0|0|0|0|1|1
21467616|M|28|165|3|0.0|1|-1|0|0.0|0|5.0|1|0|1|-1|22.5|0|0|0|0|0|0|0|5
7562409|M|33|163|3|0.0|1|-1|0|-1.0|1|5.0|1|0|1|1|25.0|3|1|0|0|0|1|0|0
1984087|M|37|164|3|0.0|1|-1|0|-1.0|0|2.0|3|0|1|0|25.0|4|0|-1|0|0|1|0|4
4487332|M|32|160|2|0.0|1|-1|0|-1.0|0|5.0|1|0|-1|-1|24.5|0|0|0|1|1|1|0|2
25250521|M|31|161|2|0.0|1|-1|0|1.0|0|5.0|3|0|0|0|30.0|0|0|0|0|0|0|1|5
2004250|M|30|160|2|-1.0|1|-1|0|0.0|0|3.0|3|0|1|0|21.5|4|0|-1|0|0|0|0|4
20551050|M|41|160|2|0.0|1|1|1|0.0|0|3.0|1|1|1|1|25.5|4|0|-1|1|1|0|1|2
11588250|M|32|159|1|-1.0|1|-1|0|-1.0|0|0.0|1|1|0|0|23.5|0|0|0|0|0|0|0|3
83977981|M|25|170|3|0.0|1|-1|0|0.0|0|5.0|0|0|1|0|-1.0|1|1|1|0|0|0|0|5
4452707|M|31|168|5|0.0|1|-1|0|-1.0|0|5.0|3|1|1|0|26.0|0|0|0|0|0|0|0|5
12305526|M|35|168|3|1.0|1|1|1|0.0|0|0.0|1|-1|0|0|-1.0|4|0|-1|0|0|0|0|1
66919267|M|23|166|1|0.0|1|-1|0|0.0|0|5.0|3|-1|1|0|26.0|2|1|0|0|0|0|0|5
4073256|M|34|155|3|0.0|0|-1|0|0.0|0|0.0|0|0|0|0|23.0|1|0|0|0|0|0|0|3
13507841|M|32|160|2|-1.0|0|0|0|0.0|0|0.0|0|0|0|0|22.5|1|0|0|0|0|0|0|3
16091687|M|32|165|1|-1.0|1|0|0|0.0|0|0.0|3|1|0|0|34.0|1|0|-1|0|0|0|0|3
30898521|M|29|155|3|0.0|0|-1|0|1.0|0|5.0|0|-1|1|-1|-1.0|1|0|0|0|0|1|0|3
18188314|M|31|155|2|-1.0|1|-1|0|0.0|0|3.0|1|0|1|0|21.0|1|-1|-1|0|0|0|0|4
3180773|M|30|160|5|-1.0|1|0|0|0.0|0|0.0|3|0|1|0|24.0|0|0|0|0|0|0|0|5
29582328|M|32|160|3|0.0|0|0|0|0.0|1|2.0|0|1|1|1|-1.0|3|0|1|0|0|0|0|0
33968612|M|23|160|2|-1.0|0|0|0|-1.0|0|0.0|0|-1|1|0|-1.0|3|0|0|0|0|0|0|3
1525212|M|33|170|3|0.0|1|-1|0|0.0|1|5.0|3|1|1|-1|28.0|0|0|0|0|0|1|0|0
8723652|M|41|157|5|0.0|1|-1|0|0.0|0|5.0|3|0|1|0|23.5|3|1|0|0|0|1|0|5
2190769|M|31|155|2|-1.0|1|-1|0|1.0|0|5.0|3|1|1|0|27.5|0|0|0|0|0|0|0|5
